InvoiceID,InvoiceSequenceID,OMONumber,InvoiceBillAmount,InvoicePayAmount,SalesTax,AdminFee,PaymentID,ChargeAmount,Payment Term,InvoiceStatus,InvoiceDate,DateTransferDoF,DaysDel
1,E701189,E701189,41.25,41.25,3.56,15,612973,59.81,30,Dispute,7/20/2006,10/20/2006,90DayDel
1,E704942,E704942,14,14,1.21,15,614364,30.21,30,NotDispute,8/25/2006,11/16/2006,60DayDel
1,E710029,E710029,7.5,7.5,0.65,15,633713,23.15,30,Dispute,10-10-2006,1/19/2007,90DayDel
1,E712562,E712562,888.7,888.7,76.65,75,635968,1040.35,30,NotDispute,11/29/2006,1/19/2007,30DayDel
1,E712358,E712358,12,12,1.04,15,644697,28.04,30,Dispute,11-10-2006,2/20/2007,90DayDel
1,E712392,E712392,50,50,4.31,15,653302,69.31,30,NotDispute,1/19/2007,2/20/2007,30DayDel
1,E708707,E708707,50,50,4.31,15,664262,69.31,30,NotDispute,03-05-2007,3/20/2007,On-Time
1,E721168,E721168,70,70,6.04,15,673902,91.04,30,NotDispute,03-09-2007,4/20/2007,30DayDel
1,E721774,E721774,844,844,72.8,75,674422,991.8,30,NotDispute,3/21/2007,4/20/2007,90PDayDel
1,E724836,E724836,673,673,58.05,75,677467,806.05,30,NotDispute,3/29/2007,5/18/2007,30DayDel
1,E722943,E722943,50,50,4.31,15,685894,69.31,30,NotDispute,4/18/2007,5/18/2007,90PDayDel
1,D700294,D700294,27011,27011,2329.7,75,686275,29415.7,30,NotDispute,4/18/2007,5/18/2007,90PDayDel
1,E726823,E726823,8320,8070,696.04,75,687554,8841.04,60,NotDispute,4/23/2007,6/20/2007,On-Time
1,92914385,E729161,121.51,121.51,5.01,18.23,698457,144.75,60,NotDispute,5/23/2007,7/20/2007,On-Time
1,E730466,E730466,880,880,75.9,75,699344,1030.9,60,NotDispute,5/31/2007,7/20/2007,On-Time
1,E721003,E721003,7533.5,7533.5,649.76,75,699683,8258.26,60,NotDispute,5/31/2007,7/20/2007,On-Time
1,25105,E733675,1049.21,1049.21,43.28,75,699905,1167.49,60,NotDispute,6/22/2007,7/20/2007,On-Time
1,245308308,E800171,435.87,435.87,17.98,65.38,708886,519.23,60,NotDispute,07-09-2007,8/20/2007,On-Time
2,245308308,E800171,187.2,187.2,7.72,28.08,730357,223,60,NotDispute,8/31/2007,10/19/2007,On-Time
3,245308308,E800171,385.19,385.19,15.41,57.78,751602,458.38,60,NotDispute,10/31/2007,12/20/2007,On-Time
